Token,FinalTokenMap
ANTERIOR,ANTERIOR
MIDDLE,MIDDLE
OVARIAN,OVARIAN
UMBILICAL,UMBILICAL
AT,AT
PLACENTA,PLACENTA
BETWEEN,BETWEEN
UTERINE,UTERINE
ASCENDING,ASCENDING
DESCENDING,DESCENDING
AORTIC,AORTIC
ARCH,ARCH
PULMONIC,PULMONIC
POPULATION,POPULATION
DISTRIBUTION,GESTATIONAL
FETAL,FETAL
WEIGHT,WEIGHT
ESTIMATION,ESTIMATION
FORMULA,FORMULA
GESTATIONAL,GESTATIONAL
AGE,AGE
BOWEL,BOWEL
CERVICAL,CERVICAL
CANAL,CANAL
EXTERNAL,EXTERNAL
OS,OS
INTERNAL,INTERNAL
COLON,COLON
LUMEN,LUMEN
FOLLICLE,FOLLICLE
RENAL,RENAL
SMALL,SMALL
VEIN,VEIN
YOLK,YOLK
SAC,SAC
KIDNEY,KIDNEY
OVARY,OVARY
UTERUS,UTERUS
LARGEST,LARGEST
CISTERNA,CISTERNA
MAGNA,MAGNA
CEREBELLUM,CEREBELLUM
CERVIX,CERVIX
CORD,CORD
OB,OB
ULTRASOUND,ULTRASOUND
IMAGING,IMAGING
EXTERNALLY,EXTERNALLY
PALPABLE,PALPABLE
SURFACE,SURFACE
CLAVICLE,CLAVICLE
DIAPHYSIS,DIAPHYSIS
FEMUR,FEMUR
FIBULA,FIBULA
HUMERUS,HUMERUS
RADIUS,RADIUS
TIBIA,TIBIA
ULNA,ULNA
ABDOMINAL,ABDOMINAL
CEREBRUM,CEREBRUM
CRANIUM,CRANIUM
DIAPHRAGM,DIAPHRAGM
DUCTAL,DUCTAL
FACE,FACE
CHOROID,CHOROID
PLEXUS,PLEXUS
FOURTH,FOURTH
INTRACRANIAL,INTRACRANIAL
ANATOMY,ANATOMY
LATERAL,LATERAL
VENTRICLES,VENTRICLE
POSTERIOR,POSTERIOR
FOSSA,FOSSA
THIRD,THIRD
ATRIA,ATRIUM
CHAMBERS,CHAMBERS
GREAT,GREAT
INTERVENTRICULAR,INTERVENTRICULAR
SEPTUM,SEPTUM
VALVES,VALVES
INTESTINE,INTESTINE
NUCHAL,NUCHAL
FOLD,FOLD
SPINE,SPINE
STOMACH,STOMACH
ENDOMETRIUM,ENDOMETRIUM
PERITON,PERITONEAL
VITR,VITREOUS
UNK,UNKNOWN
SUB,SUBSTANCE
DIAL,DIALYSIS
CALCULUS,CALCIUM
WBC,BLOOD
PRT,PERITONEAL
DENTIN,DENTIN
PRP,PLASMA
BLDA,BLOOD
BLDV,BLOOD
BLDP,BLOOD
PPP,POOR
SALIVA,SALIVA
ANAL,ANAL
FLU,FLUID
NONBIOLOGICAL,NONBIOLOGICAL
PLR,PLEURAL
PENIS,PENIS
NEWBORN,NEWBORN
PERICARD,PERICARDIAL
BUFFY,BUFFY
COAT,COAT
THYROID,THYROID
TESTIS,TESTIS
PROSTATE,PROSTATE
VOLUME,VOLUME
PLANIMETRY,PLANIMETRY
ADENOMA,ADENOMA
PENILE,PENILE
CAVERNOSAL,CAVERNOSAL
EGGYLK,EGG
TRAC,TRACHEA
EMERGENCY,EMERGENCY
DEPARTMENT,DEPARTMENT
EXHL,EXHALED
GAS,GAS
TEAR,TEAR
SWEAT,SWEAT
GLAND,GLAND
HYPERAL,HYPERAL
SOLUTION,SOLUTION
SHLW,SHALLOW
BURN,BURN
LINE,LINE
LEAFLET,LEAFLET
THORACIC,THORACIC
ISTHMUS,ISTHMUS
ANNULO,ANNULO
JUNCTION,JUNCTION
ANNULUS,ANNULUS
ECHO,ECHO
STUDY,STUDY
APICAL,APICAL
BASAL,BASAL
STRESS,STRESS
CENTRAL,CENTRAL
ULTRACENTRIFUGATE,ULTRACENTRIFUGATE
PLATELETS,PLATELETS
BREAST,BREAST
NIPPLE,NIPPLE
DISCHARGE,DISCHARGE
BUCCAL,BUCCAL
SMEAR,SMEAR
TISSUE,TISSUE
SUPERFICIAL,SUPERFICIAL
REFERENCE,REFERENCE
BEAT,BEAT
LEAD,LEAD
AVF,AVF
AVL,AVL
AVR,AVR
I,I
II,II
III,III
V1,V1
V2,V2
V3,V3
V4,V4
V5,V5
V6,V6
MOTHER,MOTHER
CTP,CLINICAL TRIAL PROTOCOL
LAB,LAB
TEST,TEST
BLDMV,BLOOD
ENDOSCOPY,ENDOSCOPY
DUCT,DUCT
PANCREATIC,PANCREATIC
APNEA,APNEA
MONITOR,MONITOR
VENTILATOR,VENTILATOR
ALARM,ALARM
SYNCHRONIZED,SYNCHRONIZED
INTERMITTENT,INTERMITTENT
MANDATORY,MANDATORY
INTERMITTEN,INTERMITTENT
NEONATAL,NEONATAL
AIRWAY,AIRWAY
CIRCUIT,CIRCUIT
PREDUCTAL,PREDUCTAL
POSTDUCTAL,POSTDUCTAL
OXYGEN,OXYGEN
DELIVERY,DELIVERY
OXYMISER,OXYMISER
OPENING,OPENING
TRACHEA,TRACHEA
ALVEOLUS,ALVEOLUS
INHL,INDEX
ATMOSPHERE,ATMOSPHERE
SERVO,SERVO
HUMIDIFIER,HUMIDIFIER
PROXIMAL,PROXIMAL
DISTAL,DISTAL
BREATHING,BREATHING
BAG,BAG
REGION,REGION
INTEREST,INTEREST
ANATOMIC,ANATOMIC
PART,PART
EPICARDIUM,EPICARDIUM
REGURGITANT,REGURGITANT
JET,JET
ORIFICE,ORIFICE
DEFECT,DEFECT
INGESTA,INGESTA
LITTER,LITTER
EMBRYO,EMBRYO
MMLK,MILK
FEED,FEED
OCULAR,OCULAR
WHEY,WHEY
CNJT,CONJUNCTIVAL
ENVIR,COLIFORM
EGG,EGG
TLGI,TISSUE
TSMI,TISSUE
INTES,INTESTINE
FIXED,FIXED
MLK,MILK
RAW,RAW
EXUDATE,EXUDATE
TRACHEAL,TRACHEAL
SWAB,SWAB
COL,COLOSTRUM
CHEESE,CHEESE
FAT,FAT
CNT,CONTENT
SPIRAL,SPIRAL
PREPUTIAL,PREPUTIAL
WASH,WASH
DAIRY,DAIRY
PRODUCT,PRODUCT
NAACCR,NAACCR
MESSAGE,MESSAGE
REGISTRY,REGISTRY
CANCER,CANCER
CENSUS,CENSUS
DX,DIAGNOSIS
ALTERNATE,ALTERNATE
RACE,RACE
ETHNICITY,ETHNICITY
COMPUTATION,COMPUTED
USUAL,USUAL
OCCUPATION,OCCUPATION
HX,HX
INDUSTRY,INDUSTRY
SITE,SITE
MORPHOLOGY,MORPHOLOGY
ABSTRACTOR,ABSTRACTOR
TUMOR,TUMOR
EXTENT,EXTENT
DISEASE,DISEASE
CODING,CODING
TNM,TNM
CLASSIFICATION,CLASSIFICATION
PEDIATRIC,PEDIATRIC
STAGING,STAGING
RADIATION,RADIATION
RX,RX
SUBSEQUENT,COURSE
CAUSE,CAUSE
DEATH,DEATH
CASE,CASE
CRN,CORNEA
BURSA,BURSA
FABRICIUS,FABRICIUS
FEATHER,FEATHER
FIBROBLASTS,FIBROBLAST
RETROPERITONEUM,RETROPERITONEUM
EXTREMITY,EXTREMITY
ACETABULUM,ACETABULUM
ACROMIOCLAVICULAR,ACROMIOCLAVICULAR
JOINT,JOINT
ANUS,ANUS
APPENDIX,APPENDIX
VEINS,VEINS
AV,AORTIC VALVE
FISTULA,FISTULA
STENT,STENT
VESSEL,VESSEL
SHUNT,SHUNT
COMMON,COMMON
DUCTS,DUCTS
GALLBLADDER,GALLBLADDER
ARTERIES,ARTERIES
BONES,BONES
LONG,LONG
BRACHIOCEPHALIC,BRACHIOCEPHALIC
SUBCLAVIAN,SUBCLAVIAN
BRACHIAL,BRACHIAL
INLET,INLET
OUTPATIENT,OUTPATIENT
CALCANEUS,CALCANEUS
CAROTID,CAROTID
EXTRACRANIAL,EXTRACRANIAL
CATHETER,CATHETER
CELIAC,CELIAC
PLEURAL,PLEURAL
CISTERNS,CISTERNS
SACRUM,SACRUM
COCCYX,COCCYX
DUODENUM,DUODENUM
ESOPHAGUS,ESOPHAGUS
HYPOPHARYNX,HYPOPHARYNX
PERIPHERAL,PERIPHERAL
FACIAL,FACIAL
FEMORAL,FEMORAL
FINGER,FINGER
ILEAL,ILEAL
CONDUIT,CONDUIT
AUDITORY,AUDITORY
PETROUS,PETROUS
TEMPORAL,TEMPORAL
SAGITTAL,SAGITTAL
PARATHYROID,PARATHYROID
ILIAC,ILIAC
BILATERAL,BILATERAL
COLLECTING,COLLECTING
SPLEEN,SPLEEN
LEG,LEG
MANDIBLE,MANDIBLE
MASTOID,MASTOID
MESENTERIC,MESENTERIC
NASAL,NASAL
NASOPHARYNX,NASOPHARYNX
OPTIC,OPTIC
FORAMEN,FORAMEN
ORBIT,ORBIT
OROPHARYNX,OROPHARYNX
PANCREAS,PANCREAS
PATELLA,PATELLA
PITUITARY,PITUITARY
SELLA,SELLA
TURCICA,TURCICA
POPLITEAL,POPLITEAL
PSEUDOANEURYSM,PSEUDOANEURYSM
PYLORUS,PYLORUS
RIBS,RIBS
SACROILIAC,SACROILIAC
SALIVARY,SALIVARY
SCAPULA,SCAPULA
SKULL,SKULL
SPINAL,SPINAL
LUMBAR,LUMBAR
FACET,FACET
ODONTOID,ODONTOID
AXIS,AXIS
SPLENIC,SPLENIC
PORTAL,PORTAL
STERNOCLAVICULAR,STERNOCLAVICULAR
JOINTS,DEPRECATED
STERNUM,STERNUM
TEMPOROMANDIBULAR,TEMPOROMANDIBULAR
SCROTUM,SCROTUM
TESTICLE,TESTICLE
THUMB,THUMB
TIBIAL,TIBIAL
TOES,TOES
FALLOPIAN,FALLOPIAN
TUBES,TUBES
&OR,MR
ZYGOMATIC,ZYGOMATIC
HEPATIC,HEPATIC
INTRAHEPATIC,INTRAHEPATIC
CARPAL,CARPAL
BLDCOV,BLOOD
BLDCOA,BLOOD
LM,LM
GLASSES,GLASSES
LENS,LENS
PRESCRIPTION,PRESCRIPTION
CONTACT,CONTACT
VISUAL,VISUAL
SENSORY,SENSORY
LID,LID
LACRIMAL,LACRIMAL
CONJUNCTIVA,CONJUNCTIVA
CORNEA,CORNEA
CHAMBER,CHAMBER
IRIS,IRIS
CILIARY,CILIARY
VITREOUS,VITREOUS
RETINA,RETINA
CHOROIDEA,CHOROIDEA
APPENDAGE,APPENDAGE
CELLS,CELLS
BEHAVIOR,BEHAVIOR
DOT,DBS
TPN,TOTAL PARENTAL NUTRITION
PERICARDIAL,PERICARDIAL
SECOND,SECOND
FIFTH,FIFTH
MAXILLOFACIAL,MAXILLOFACIAL
PERITONEUM,PERITONEUM
EPIDURAL,EPIDURAL
JUGULAR,JUGULAR
ADRENAL,ADRENAL
VISCERAL,VISCERAL
NERVES,NERVES
CRANIAL,CRANIAL
LUMBOSACRAL,LUMBOSACRAL
SYMPHYSIS,SYMPHYSIS
PUBIS,PUBIS
TIBIOPERONEAL,TIBIOPERONEAL
CERVICOCEREBRAL,CERVICOCEREBRAL
FORM,FORM
VACCINE,VACCINE
ADMINISTERED,ADMINISTERED
BROTHER,BROTHER
SISTER,SISTER
BIL,BILE
MENINGITIS,MENINGITIS
LYMPH,LYMPH
NODE,NODE
MASS,MASS
SUBMANDIBULAR,SUBMANDIBULAR
SOFT,SOFT
PAROTID,PAROTID
PLASA,PLASMA
PLASV,PLASMA
ACHILLES,ACHILLES
BICEPS,BICEPS
BRACHIORADIALIS,BRACHIORADIALIS
PATELLAR,PATELLAR
TRICEPS,TRICEPS
ADNEXA,ADNEXA
DIGITS,DIGITS
EXTRAOCULAR,EXTRAOCULAR
MUSCLES,MUSCLES
GAIT,GAIT
APPEARANCE,APPEARANCE
HEREDITARY,HEREDITARY
HEARING,HEARING
HEMORRHOID,HEMORRHOID
INTRAORAL,INTRAORAL
APPARATUS,APPARATUS
LARYNX,LARYNX
LIP,LIP
MACULA,MACULA
MOTOR,MOTOR
FUNCTION,FUNCTION
MUCOUS,MUCOUS
MEMBRANE,MEMBRANE
MUSCLE,MUSCLE
TONE,TONE
NOSTRIL,NOSTRIL
PALATE,PALATE
PARAMETRIUM,PARAMETRIUM
PARAVERTEBRAL,PARAVERTEBERAL
PHARYNX,PHARYNX
PIGMENTATION,PIGMENTATION
PUPIL,PUPIL
RASH,RASH
SCALP,SCALP
SCAR,SCAR
SCLERA,SCLERA
SEIZURE,SEIZURE
ACTIVITY,ACTIVITY
GUM,GUM
TOENAIL,TOENAIL
TONSIL,TONSIL
TONGUE,TONGUE
TYMPANIC,TYMPANIC
VAGINA,VAGINA
VISION,VISION
REFLEX,REFLEX
LOCATION,LOCATION
TOOTH,TOOTH
FIRST,FIRST
BOUNDARY,BOUNDARY
LANDMARK,LANDMARK
GUARDIAN,GUARDIAN
GINGIVA,GINGIVA
SULCUS,SULCUS
DENTAL,DENTAL
MAXILLA,MAXILLA
PROBE,PROBE
DENTITION,DENTITION
CHEEK,CHEEK
DENTURE,DENTURE
COMPLETE,COMPLETE
PARTIAL,PARTIAL
ENDOTRACHEAL,ENDOTRACHEAL
SUCTION,SUCTION
INTUBATION,INTUBATION
VENTILATION,VENTILATION
THERAPY,THERAPY
ANALYZER,ANALYZER
NPH,NAA
TYPE,TYPE
TASK,TASK
MESORECTUM,MESORECTUM
PLATELET,PLATELET
PHERESIS,PHERESIS
CVS,CHORIONIC VILLUS SAMPLE
PRIMARY,PRIMARY
PAIN,PAIN
SUBJECT,SUBJECT
CUSPID,CUSPID
MOLAR,MOLAR
DIAGNOSIS,DIAGNOSIS
TREATMENT,TREATMENT
ORTHODONTIC,ORTHODONTIC
PROSTHESIS,PROSTHESIS
ALVEOLAR,ALVEOLAR
RIDGE,RIDGE
CHIEF,CHIEF
COMPLAINT,COMPLAINT
FDA,FDA
PACKAGE,PACKAGE
INSERT,INSERT
NURSING,NURSING
FACILITY,FACILITY
INTENSIVE,INTENSIVE
CARE,CARE
UNIT,UNIT
PATIENTS,PATIENTS
HOME,HOME
TELEPHONE,TELEPHONE
ENCOUNTER,ENCOUNTER
LABEL,LABEL
TICK,TICK
INTRATHECAL,INTRATHECAL
SIBLING,SIBLING
CLINICAL,CLINICAL
TRIAL,TRIAL
PROTOCOL,PROTOCOL
CISTERN,CISTERN
TOE,TOE
TRIBUTARIES,TRIBUTARIES
MARROW,MARROW
EPIDIDYMIS,EPIDIDYMIS
MEDIASTINUM,MEDIASTINUM
ENDOGRAFT,ENDOGRAFT
STEM,STEM
CIRCLE,CIRCLE
WILLIS,WILLIS
BICIPITAL,BICIPITAL
GROOVE,GROOVE
OLECRANON,OLECRANON
VERTEBRAL,VERTEBRAL
GASTRIC,GASTRIC
GASTRODUODENAL,GASTRODUODENAL
MAXILLARY,MAXILLARY
PUDENDAL,PUDENDAL
AZYGOS,AZYGOS
INTRAOSSEOUS,INTRAOSSEOUS
PARENCHYMA,PARENCHYMA
PLEURA,PLEURA
INTERVERTEBRAL,INTERVERTEBRAL
DISC,DISC
BASE,BASE
JEJUNUM,JEJUNUM
PELVIC,PELVIC
TESTICULAR,TESTICULAR
THORACOLUMBAR,THORACOLUMBAR
TALUS,TALUS
WHOLE,WHOLE
SKELETAL,SKELETAL
POOL,POOLED
AIR,AIR
EVENT,EVENT
&&,CT
BED,BED
EDGE,EDGE
PERIWOUND,PERIWOUND
GASTROINTESTINE,GASTROINTESTINE
VAS,VAS
DEFERENS,DEFERENS
ESCORT,ESCORT
GLUCOSE,GLUCOSE
METER,METER
BLOOD,BLOOD
PRESSURE,PRESSURE
WEIGHING,WEIGHING
HEIGHT,HEIGHT
COAGULATION,COAGULATION
SATURATION,SATURATION
PEAK,PEAK
FLOW,FLOW
INSULIN,INSULIN
PEDOMETER,PEDOMETER
HBA1C,HBA1C
METABOLISM,METABOLISM
GRAFT,GRAFT
SESAMOID,SESAMOID
ENDOMYOCARDIUM,ENDOMYOCARDIUM
FETUSES,FETUSES
RETIC,RETICULOCYTES
REAGENT,REAGENT
LABORATORY,LABORATORY
CELL,CELL
ESOPHAGEAL,ESOPHAGEAL
BRUSH,BRUSH
BAL,DNA
SUBPHRENIC,SUBPHRENIC
THYMUS,THYMUS
UNILATERAL,UNILATERAL
TWINS,FETUSES
AXIAL,AXIAL
CERVICOTHORACIC,CERVICOTHORACIC
CAPILLARY,OXIMETRY
MELANOMA,MELANOMA
CORE,CORE
CHIP,CHIPS
ORGAN,ORGAN
ELECTROCARDIOGRAPH,ELECTROCARDIOGRAPH
LAVAGE,LAVAGE
CCD,CONTINUITY CARE DOCUMENT
ENDOCERVICAL,ENDOCERVICAL
BLDCRRT,BLOOD
TROPHOBLASTS,TROPHOBLASTS
BLDCOMV,BLOOD
RH,RH
IMMUNE,IMMUNE
GLOBULIN,GLOBULIN
INPATIENT,INPATIENT
TERM,TERM
RBCCO,BLOOD
FATHER,FATHER
MEDICATION,MEDICATION
CURRENT,CURRENT
SPTT,SPUTUM
ENDOMET,ENDOMETRIUM
INDEX,INDEX
COMPARISON,COMPARISON
NORMAL,NORMAL
WET,WET
DRIED,DRIED
SPAN,SPAN
PROXY,PROXYS
GYNECOLOGIC,GYNECOLOGIC
PRIMITIVE,PRIMITIVE
ORGANIZATION,ORGANIZATION
FLUID,FLUID
INITIAL,INITIAL
SAMPLE,SAMPLE
NBS,NBS
CARD,CARD
PREGNANCY,PREGNANCY
DAUGHTER,DAUGHTER
SON,SON
LOC,LOCHIA
TO,TO
EQUIPMENT,EQUIPMENT
SPTC,SP
BBL,BLOOD
ABSCESS,ABSCESS
CNL,CANNULA
ADAPTOR,ADAPTOR
EXPIRATORY,EXPIRATORY
LIMB,LIMB
INSPIRATORY,INSPIRATORY
ANESTHETIC,ANESTHETIC
AGENT,AGENT
NITROUS,NITROUS
OXIDE,OXIDE
CIRCULATION,FRACTION
ROOM,ROOM
INJECTATE,INJECTATE
EXTRACELLULAR,EXTRACELLULAR
CORTEX,CORTEX
INTRA,INTRA
VENOUS,VENOUS
CVP,CENTRAL VENOUS PRESSURE
MYOCARDIUM,MYOCARDIUM
POC,PRODUCTS
ULC,ULCER
HOUSEHOLD,HOUSEHOLD
ASPECT,ASPECT
PUS,PUS
INTRAOCULAR,INTRAOCULAR
REFRACTIVE,REFRACTIVE
ERROR,ERROR
RETINAL,RETINAL
DIGITAL,DIGITAL
PHOTOG,PHOTOG
SCHOOL,SCHOOL
OBSERVER,OBSERVER
VEHICLE,VEHICLE
NEIGHBORHOOD,NEIGHBORHOOD
SKILLED,SKILLED
POSITIVE,POSITIVE
NERVE,NERVE
PERSONNEL,PERSONNEL
PROSTATIC,PROSTATIC
INTERCOSTAL,INTERCOSTAL
SAL,SALIVA
POS,POSITIVE
GROWTH,GROWTH
PHARMACY,PHARMACY
LYMPHOBLASTS,LYMPHOBLASTS
CFDNA,CFDNA
BARTHOLIN,BARTHOLIN
CYST,CYST
VP,VP
DOCUMENT,DOCUMENT
REPOSITORY,REPOSITORY
DORSAL,DORSAL
PEDAL,PEDAL
CUSTODIAL,CUSTODIAL
TELEHEALTH,TELEHEALTH
URGENT,URGENT
CENTER,CENTER
DNA,DNA
ANORECTAL,ANORECTAL
B,B
MONOCYTES,MONOCYTES
INFANT,INFANT
MICROENVIRONMENT,MICROENVIRONMENT
INCUBATOR,INCUBATOR
EEG,EEG
INFUSION,INFUSION
PUMP,PUMP
TRANSCUTANEOUS,TRANSCUTANEOUS
SENSOR,SENSOR
CYLINDER,CYLINDER
PIPELINE,PIPELINE
CAPILLARIES,CAPILLARY
SYRINGE,SYRINGE
AUTOLOGOUS,AUTOLOGOUS
TRANSPORT,TRANSPORT
RESPONSE,RESPONSE
IMPLANTED,IMPLANTED
HINDFOOT,HINDFOOT
MIDFOOT,MIDFOOT
TEMPERATURE,TEMPERATURE
VASCULAR,VASCULAR
MC,CELL
RO,WO
MEDIAL,MEDIAL
APEX,APEX
RESP,PRESSURE
ALV,ALVEOLAR
ATRIOVENTRICULAR,PERCENT
NODAL,NODAL
DIAGONAL,DIAGONAL
1,1
2,2
CIRCUMFLEX,CIRCUMFLEX
OBTUSE,OBTUSE
MARGINAL,MARGINAL
POSTEROLATERAL,POSTEROLATERAL
RAMUS,RAMUS
INTERMEDIUS,INTERMEDIUS
CATHETERIZATION,CATHETERIZATION
ANGIOPLASTY,CORONARY
URETER,URETER
LEGALLY,LEGALLY
AUTHORIZED,AUTHORIZED
REPRESENTATIVE,REPRESENTATIVE
EDUCATION,EDUCATION
PROGRAM,PROGRAM
TONOMETRY,TONOMETRY
ERG,ERG
FUNDUS,FUNDUS
PIGMENT,PIGMENT
EPITHELIUM,EPITHELIUM
PALPEBRAL,PALPEBRAL
FISSURE,FISSURE
EYELID,EYELID
LASHES,LASHES
PATHWAY,PATHWAY
SINOTUBULAR,SINOTUBULAR
CHORIORETINA,CHORIORETINA
1A,ARTERY
2A,ARTERY
SEGMENT,SEGMENT
ANOGENITAL,ANOGENITAL
HEMATOPOIETIC,HEMATOPOIETIC
PROGENITOR,PROGENITOR
TUNNEL,TUNNEL
WITNESS,WITNESS
MATERIAL,MATERIAL
ENVIRONMENTAL,ENVIRONMENTAL
TIP,TIP
OBSERVATION,OBSERVATION
VERTEX,VERTEX
DOMINANT,DOMINANT
NON,NON
AXILLARY,AXILLARY
NEBULIZER,NEBULIZER
WAIST,WAIST
COLORECTAL,COLORECTAL
RADIAL,RADIAL
ULNAR,ULNAR
UTI,UTI
PNEUMONIA,PNEUMONIA
LITTLE,LITTLE
RING,RING
RECOVERY,RECOVERY
TELEIMAGING,TELEIMAGING
EKG,EKG
PACEMAKER,PACEMAKER
PROSTHETIC,PROSTHETIC
LEADS,LEADS
ARTIFICIAL,ARTIFICIAL
SEMINAL,SEMINAL
VESICLE,VESICLE
INFRARENAL,INFRARENAL
INTERVIEWEE,HISTORY
HISTORY,HISTORY
TAKER,TAKER
VERTEBRA,VERTEBRA
INTERMEDIATE,INTERMEDIATE
MAJOR,MAJOR
EPIGASTRIC,EPIGASTRIC
VASCULATURE,VASCULAR
SYSTEMIC,SYSTEMIC
ADULT,ADULT
DAY,DAY
MEASURE,MEASURE
TRACHEOSTOMY,TRACHEOSTOMY
ILEUM,ILEUM
INTAKE,INTAKE
SUBSTANCE,SUBSTANCE
FOREFOOT,FOREFOOT
PERIRENAL,PERIRENAL
PERIRECTAL,PERIRECTAL
LIGAMENT,LIGAMENT
VOLUNTEER,VOLUNTEER
AGENCY,AGENCY
SUPPLY,SUPPLY
TRAPEZOID,TRAPEZOID
TRAPEZIUM,TRAPEZIUM
SCAPHOID,SCAPHOID
LUNATE,LUNATE
TRIQUETRUM,TRIQUETRUM
HAMATE,HAMATE
CAPITATE,CAPITATE
PHALANX,PHALANX
METACARPAL,METACARPAL
MONOCYTE,MONOCYTE
NEUTROPHIL,NEUTROPHIL
VETERINARY,VETERINARY
CAGE,CAGE
R,RIGHT
WAVE,WAVE
DUR,DURATION
L,LEFT
DBG,DBG
